"","CaseID","nClients","nMH","nClose","ratio"
"782",60883,7,3,2,0.43
"783",60884,5,1,1,0.2
"784",60885,5,0,1,0
"785",60888,3,1,2,0.33
"786",60889,6,0,1,0
"787",60890,4,2,1,0.5
"788",60893,4,0,1,0
"789",60895,2,1,1,0.5
"790",60896,5,1,1,0.2
"791",60897,3,2,1,0.67
"792",60900,14,2,2,0.14
"793",60901,3,1,1,0.33
"794",60902,2,1,1,0.5
"795",60903,7,3,1,0.43
"796",60904,4,2,1,0.5
"797",60906,2,1,1,0.5
"798",60907,15,8,1,0.53
"799",60908,5,3,1,0.6
"800",60909,8,1,1,0.12
"801",60914,7,4,1,0.57
"802",60915,3,0,2,0
"803",60916,5,1,1,0.2
"804",60919,5,1,1,0.2
"805",60920,2,1,1,0.5
"806",60921,5,3,1,0.6
"807",60923,6,1,1,0.17
"808",60925,7,2,1,0.29
"809",60928,4,0,1,0
"810",60929,3,0,1,0
"811",60930,3,1,1,0.33
"812",60932,4,2,1,0.5
"813",60937,4,3,1,0.75
"814",60938,7,0,1,0
"815",60943,4,1,1,0.25
"816",60945,4,1,1,0.25
"817",60946,7,1,1,0.14
"818",60948,5,3,1,0.6
"819",60949,4,2,1,0.5
"820",60950,7,3,2,0.43
"821",60951,3,1,1,0.33
"822",60953,6,4,1,0.67
"823",60961,2,1,1,0.5
"824",60962,5,2,1,0.4
"825",60964,5,1,1,0.2
"826",60966,3,2,1,0.67
"827",60967,4,2,1,0.5
"828",60968,4,0,1,0
"829",60969,5,1,1,0.2
"830",60970,6,2,1,0.33
"831",60971,5,0,1,0
"832",60972,6,2,1,0.33
"833",60975,6,5,1,0.83
"834",60978,9,3,3,0.33
"835",60979,6,0,1,0
"836",60980,4,0,1,0
"837",60983,5,1,1,0.2
"838",60984,4,2,1,0.5
"839",60986,6,5,1,0.83
"840",60988,3,1,1,0.33
"841",60989,6,5,1,0.83
"842",60990,6,1,1,0.17
"843",60991,3,2,1,0.67
"844",60994,8,1,1,0.12
"845",60995,4,2,1,0.5
"846",60996,4,1,1,0.25
"847",60998,2,0,1,0
"848",61000,3,0,1,0
"849",61002,4,1,1,0.25
"850",61003,5,3,1,0.6
"851",61005,4,1,1,0.25
"852",61006,4,0,1,0
"853",61010,2,0,1,0
"854",61011,5,1,1,0.2
"855",61014,4,2,2,0.5
"856",61015,3,1,1,0.33
"857",61020,3,1,1,0.33
"858",61022,4,1,1,0.25
"859",61023,6,1,1,0.17
"860",61024,3,2,1,0.67
"861",61025,10,5,1,0.5
"862",61026,4,2,1,0.5
"863",61029,5,4,1,0.8
"864",61033,3,0,1,0
"865",61035,5,1,1,0.2
"866",61037,9,2,1,0.22
"867",61039,4,3,1,0.75
"868",61040,7,2,1,0.29
"869",61041,7,1,1,0.14
"870",61043,7,2,1,0.29
"871",61044,5,2,1,0.4
"872",61045,3,1,1,0.33
"873",61047,4,2,1,0.5
"874",61053,3,0,1,0
"875",61054,3,1,1,0.33
"876",61055,5,1,1,0.2
"877",61056,5,3,1,0.6
"878",61057,6,2,1,0.33
